modality,model,trial_idx,learning_rate,batch_size,weight_decay,aug_strength,label_smoothing,imbalance,patience,cnn_widths,p,best_val_score,primary_metric_test,epochs_ran,train_time_s,gpu_id,elapsed_s
heart,effnet,11,0.00012457534575949924,32,1.7533426459054163e-05,1.5,0.05,weighted_sampler,7,None,0.3,0.9263966690275363,0.8944478908188586,10,656.0629810728133,3,668.1
heart,effnet,13,0.00019416106033734795,64,1.5365794970729898e-06,1.5,0.1,class_weight,7,None,0.3,0.9380464876698216,0.891082506203474,14,749.6254751048982,1,760.4
heart,effnet,12,0.0002239859235629995,64,1.3691649630203002e-06,1.5,0.1,weighted_sampler,10,None,0.3,0.9345094756723114,0.9060949131513648,19,1272.9042142257094,0,1284.3
heart,effnet,14,0.00013458172081439823,16,0.0003324818393167728,1.0,0.1,class_weight,5,None,0.3,0.94094177236924,0.9009460297766749,12,1083.5972066223621,2,1097.4
heart,effnet,16,7.766339715234156e-05,64,2.087390108236711e-05,1.5,0.0,class_weight,7,None,0.3,0.9248105938660314,0.8698821339950372,9,579.722059044987,0,590.6
heart,effnet,17,0.00010948823200403403,32,4.363335777789832e-06,0.5,0.1,class_weight,7,None,0.3,0.9351833966475651,0.8878411910669974,10,547.3156340308487,1,559.5
heart,effnet,15,7.380928892286871e-05,16,1.2358334160759304e-05,1.5,0.1,class_weight,7,None,0.3,0.9369583413817526,0.893812034739454,14,1279.0080072395504,3,1293.4
heart,effnet,19,8.568326113466809e-05,16,0.0001845137308588034,1.0,0.1,weighted_sampler,10,None,0.3,0.926443886420707,0.8805210918114144,12,1061.3167838267982,3,1074.4
heart,effnet,21,5.082588150934454e-05,16,2.3769470059798776e-05,1.0,0.1,weighted_sampler,5,None,0.3,0.9174961904148692,0.8853753101736972,8,671.7812171131372,1,685.2
heart,effnet,18,5.4819333746422397e-05,16,0.0005082503427067804,1.0,0.1,class_weight,5,None,0.3,0.9399673770738094,0.8802574441687345,13,1161.0835811831057,2,1175.9
heart,effnet,22,0.00010730204984306592,64,1.0278803053011247e-05,0.5,0.0,class_weight,7,None,0.3,0.9328718906273474,0.8833591811414392,10,555.8293970823288,2,566.2
heart,effnet,23,4.0515418315765234e-05,32,3.0030341698958427e-05,1.5,0.0,class_weight,7,None,0.3,0.9327946258021591,0.8826457816377171,14,945.0759246274829,3,957.8
heart,effnet,20,9.774948687574648e-05,32,0.0,1.0,0.1,weighted_sampler,10,None,0.3,0.9278217758032322,0.905272952853598,26,1931.4174252301455,0,1944.3
heart,effnet,24,3.3242582896658605e-05,16,0.00038675264220890923,1.5,0.1,weighted_sampler,5,None,0.3,0.9260811709913506,0.8818238213399503,13,1260.710574105382,0,1275.6
heart,effnet,26,9.994318359343333e-05,64,0.0008230493164397012,1.5,0.1,class_weight,10,None,0.3,0.9433369819500783,0.8948200992555831,20,1060.749987192452,2,1071.8
heart,effnet,28,0.00029677658436005655,32,0.0005940507991451983,1.5,0.1,weighted_sampler,10,None,0.3,0.9318760328804756,0.8944789081885856,14,748.9533458203077,0,759.5
heart,effnet,27,0.00015909368825935298,32,1.3870404926506462e-06,1.0,0.05,weighted_sampler,7,None,0.3,0.9283454596183975,0.8957506203473946,21,1354.005300708115,3,1367.1
heart,effnet,25,0.00021441870331921734,16,0.0003223547981492017,1.5,0.0,class_weight,10,None,0.3,0.9422939068100358,0.909568858560794,23,2088.694366183132,1,2103.1
heart,effnet,30,5.194495184934975e-05,16,0.0,0.5,0.0,weighted_sampler,5,None,0.3,0.9298607086901466,0.8892214640198511,7,593.6454686783254,2,608.1
heart,effnet,29,0.0002880023554311839,16,3.5873607288721786e-05,0.5,0.0,class_weight,10,None,0.3,0.9420492348636061,0.8870192307692308,14,1332.36080147326,1,1346.5
heart,effnet,31,6.718212567429135e-05,64,7.75167173863014e-05,0.5,0.1,class_weight,5,None,0.3,0.9386259738587341,0.8769696029776675,23,1219.920844271779,3,1231.2
lung,cnn,1,0.0008536473813020963,64,0.0006310534054588564,1.5,0.1,class_weight,5,"[16, 32, 64, 128]",0.3,0.632100169240533,0.5599633018778,14,24.16434632986784,1,31.3
lung,cnn,2,0.0024876326077781993,64,7.583640570149818e-05,0.5,0.1,weighted_sampler,7,"[16, 32, 64, 128]",0.3,0.6619420351174106,0.5604994757411115,17,27.707901433110237,2,35.0
lung,cnn,3,0.00252323587109397,32,1.2300830495867235e-06,1.5,0.1,weighted_sampler,7,"[32, 64, 128, 256]",0.3,0.6279617093293843,0.5787353445810695,25,43.864697370678186,3,51.2
lung,cnn,0,0.0007066157237142146,16,2.6665525964072513e-06,1.0,0.1,weighted_sampler,10,"[16, 32, 64, 128]",0.3,0.6427966998096044,0.5563602135163473,29,57.59159604460001,0,65.1
lung,cnn,4,0.00200990096214503,16,8.936812137204277e-06,1.0,0.0,class_weight,7,"[32, 64, 128, 256]",0.3,0.6414612862280517,0.5032730435611477,19,38.5910289734602,0,44.8
lung,cnn,5,0.0011773280246717645,32,1.169772166361303e-06,1.5,0.05,weighted_sampler,7,"[16, 32, 64, 128]",0.5,0.6242199069177068,0.5389464779334667,22,37.227027613669634,1,43.4
lung,cnn,6,0.0011620617496127385,64,0.00017825786867590735,1.5,0.05,weighted_sampler,5,"[16, 32, 64, 128]",0.5,0.6554765178760313,0.5530645315031932,19,30.488359548151493,2,36.7
